,index,area of operation,country_aor
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,LBY
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,MDV
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,MLI
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,MOZ
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,MYS
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,NER
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,NGA
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,NLD
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,PAK
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,PHL
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,PSE
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,RUS
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,SDN
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,SOM
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,SWE
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,SYR
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,TCD
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,TJK
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,TUN
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,TUR
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,USA
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,YEM
44,Islamic State of Iraq and ash-Sham-Khorasan Province (ISIS-K),Afghanistan Pakistan and Central Asia note   “Khorasan” is a historical region that encompassed northeastern Iran southern Turkmenistan and northern Afghanistan in 2024 it claimed attacks in Afghanistan Iran PakistanRussia and Turkey,AFG
44,Islamic State of Iraq and ash-Sham-Khorasan Province (ISIS-K),Afghanistan Pakistan and Central Asia note   “Khorasan” is a historical region that encompassed northeastern Iran southern Turkmenistan and northern Afghanistan in 2024 it claimed attacks in Afghanistan Iran PakistanRussia and Turkey,IRN
44,Islamic State of Iraq and ash-Sham-Khorasan Province (ISIS-K),Afghanistan Pakistan and Central Asia note   “Khorasan” is a historical region that encompassed northeastern Iran southern Turkmenistan and northern Afghanistan in 2024 it claimed attacks in Afghanistan Iran PakistanRussia and Turkey,PAK
44,Islamic State of Iraq and ash-Sham-Khorasan Province (ISIS-K),Afghanistan Pakistan and Central Asia note   “Khorasan” is a historical region that encompassed northeastern Iran southern Turkmenistan and northern Afghanistan in 2024 it claimed attacks in Afghanistan Iran PakistanRussia and Turkey,TKM
44,Islamic State of Iraq and ash-Sham-Khorasan Province (ISIS-K),Afghanistan Pakistan and Central Asia note   “Khorasan” is a historical region that encompassed northeastern Iran southern Turkmenistan and northern Afghanistan in 2024 it claimed attacks in Afghanistan Iran PakistanRussia and Turkey,TUR
45,Jaish-e-Mohammed (JeM),Indian and Pakistantargets tactics and weapons  attacks Indian military security and government officials personnel bases and buildings periodically attacks Pakistani government and security personnel attempted to assassinate former Pakistani President Pervez MUSHARRAF in 2003 has assaulted and kidnapped Christians and foreigners typically employs small arms light and heavy machine guns rocket propelled grenades mines improvised explosive devices suicide bombers and car bombs,IND
45,Jaish-e-Mohammed (JeM),Indian and Pakistantargets tactics and weapons  attacks Indian military security and government officials personnel bases and buildings periodically attacks Pakistani government and security personnel attempted to assassinate former Pakistani President Pervez MUSHARRAF in 2003 has assaulted and kidnapped Christians and foreigners typically employs small arms light and heavy machine guns rocket propelled grenades mines improvised explosive devices suicide bombers and car bombs,PAK
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,BEN
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,BFA
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,CIV
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,MLI
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,NER
46,Jama’at Nusrat al-Islam wal-Muslimin (JNIM),Benin Burkina Faso Côte d’Ivoire Mali Niger and Togo,TGO
47,Jama’atu Ansarul Muslimina Fi Biladis-Sudan (Ansaru),operates in the northwest and north central regions of Nigeria particularly Kaduna State including the Benin Niger Nigeria tri border area also has reportedly taken part in al Qa'ida operations in the Sahel  ,BEN
47,Jama’atu Ansarul Muslimina Fi Biladis-Sudan (Ansaru),operates in the northwest and north central regions of Nigeria particularly Kaduna State including the Benin Niger Nigeria tri border area also has reportedly taken part in al Qa'ida operations in the Sahel  ,NER
47,Jama’atu Ansarul Muslimina Fi Biladis-Sudan (Ansaru),operates in the northwest and north central regions of Nigeria particularly Kaduna State including the Benin Niger Nigeria tri border area also has reportedly taken part in al Qa'ida operations in the Sahel  ,NGA
